source_file,string_address,function_address
"Game\CChampionshipProgression.cpp",004e2320,00013c50
"Game\CChampionshipProgression.cpp",004e23c0,00013f00
"Game\CChampionshipProgression.cpp",004e2460,00013f00
"Game\CChaseLogic.cpp",004e2ebc,000146e0
"Game\CCrashForCashData.cpp",004e3bc0,00015a30
"Game\CCrashForCashData.cpp",004e3c38,00015a30
"Game\CCrashForCashData.cpp",004e3cb0,00015c10
"Game\CCrashForCashData.cpp",004e3d28,00015c10
"Game\CCrashForCashData.cpp",004e3da0,00015c90
"Game\CCrashForCashData.cpp",004e3e20,00015c90
"Game\CCrashForCashData.cpp",004e3e98,00015e20
"Game\CCrashForCashData.cpp",004e3f10,00015e20
"Game\CCrashForCashData.cpp",004e3f88,00015e80
"Game\CCrashForCashData.cpp",004e4000,00015e80
"Game\CCrashForCashData.cpp",004e4088,00015e80
"Game\CCrashForCashData.cpp",004e4110,00015e80
"Game\CCrashForCashLogic.cpp",004e43e0,00016060
"Game\CCrashForCashLogic.cpp",004e4448,000163b0
"Game\CDebugManager.cpp",004e5150,000165f0
"Game\CDebugManager.cpp",004e5598,00018b00
"Game\CDebugManager.cpp",004e5618,00018b00
"Game\CDebugManager.cpp",004e5690,00018c20
"Game\CDebugManager.cpp",004e5720,00018c20
"Game\CDebugManager.cpp",004e5798,00018d60
"Game\CDrivingLessonProgression.cpp",004e6410,0001a4b0
"Game\CDrivingLessonProgression.cpp",004e6500,0001ab10
"Game\CFrontEnd.cpp",004e6c7c,0001b1e0
"Game\CGame.cpp",004e7664,0001bc20
"Game\CGame.cpp",004e76c8,0001bc20
"Game\CGame.cpp",004e772c,0001bc20
"Game\CGame.cpp",004e778c,0001bc20
"Game\CGame.cpp",004e77ec,0001bc20
"Game\CGame.cpp",004e784c,0001bc20
"Game\CGame.cpp",004e78b4,0001bc20
"Game\CGame.cpp",004e7914,0001bc20
"Game\CGame.cpp",004e7978,0001bc20
"Game\CGame.cpp",004e79e0,0001bc20
"Game\CGame.cpp",004e7a40,0001bc20
"Game\CGame.cpp",004e7aa0,0001bc20
"Game\CGame.cpp",004e7b04,0001bc20
"Game\CGame.cpp",004e7b6c,0001bc20
"Game\CGameLogic.cpp",004e8234,0001c2b0
"Game\CGameLogic.cpp",004e82bc,0001c2b0
"Game\CGameLogic.cpp",004e8344,0001c2b0
"Game\CGameMode.cpp",004e8a60,0001d590
"Game\CGameMode.cpp",004e8ae0,0001d590
"Game\CGameMode.cpp",004e8b60,0001d590
"Game\CGameMode.cpp",004e8be0,0001d590
"Game\CGameMode.cpp",004e8c60,0001d590
"Game\CGameMode.cpp",004e8cbc,0001d590
"Game\CLessonLogic.cpp",004e959c,0001e000
"Game\COnePlayerFaceOff.cpp",004ea970,0001f460
"Game\COnePlayerPursuit.cpp",004ebd40,00020630
"Game\CProfile.cpp",004ed1c8,00021c30
"Game\CProfile.cpp",004ed230,00021f50
"Game\CRaceResult.cpp",004ed914,000222f0
"Game\CRaceResult.cpp",004ed98c,000222f0
"Game\CRecords.cpp",004edc58,00023810
"Game\CSettings.cpp",004ee30c,00023a50
"Game\CTurnBasedGameMode.cpp",0050ee30,00025130
"Game\CTurnBasedGameMode.cpp",0050eeb0,00025130
"Game\CTurnBasedGameMode.cpp",0050ef30,00025310
"Game\CTurnBasedGameMode.cpp",0050efb0,000253f0
"Game\CTurnBasedGameMode.cpp",0050f030,000254e0
"Game\CTurnBasedGameMode.cpp",0050f0b0,000255b0
"Game\CTurnBasedGameMode.cpp",0050f130,00025680
"Game\CTurnBasedGameMode.cpp",0050f1b0,00025740
"Game\CTurnBasedGameMode.cpp",0050f230,00025800
