class,method_signature,source_file
C2dObjectBoostBar,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,GtMathPs2::CGtV4d,CB3HUDBoostBar::CBoostBarObjectD",B3HUDBoostBar.cpp
C2dObjectBoostBar,"_RenderParticles(const B3HUDParticleParamsTag*,const CGt2dObject::CGt2dObjectSpace&,const CB3HUDBoostBar::CB",B3HUDBoostBar.cpp
C2dObjectBoostBarMessage,"_BuildBatchData(const CGt2dObject::CGt2dObjectSpace&,const GtMathPs2::CGtV2d&,const C2dObjectBoostBar",B3HUDBoostBar.cpp
CB32dObjectGradient,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,GtMathPs2::CGtV4d,GtMat",B32dObjectGradient.cpp
CB32dObjectOffscreenImage,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,GtMathPs2::CGtV4d",B32dObjectOffscreenImage.cpp
CB3AIAvoidanceMap,"AddCarToMap(EAIAvoidanceRisk,float,float,float,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathP",B3AIAvoidance.cpp
CB3AIAvoidanceMap,"CheckVehicle(const GtMathPs2::CGtMatrix3x4&,GtMathPs2::CGtV3d,bool,bool,EAIAvoidanceRisk,const CGtAxisAligne",B3AIAvoidance.cpp
CB3AITarget,"FindNextCorner(const CB3AILane*,unsigned short,unsigned short*,unsigned short*,unsigned short*,float*,float*,float",B3AITarget.cpp
CB3AITargetSpline,"CalculateSpline(int*,CB3AILane*,float*,GtMathPs2::CGtV3d*,GtMathPs2::CGtV3d*,GtMathPs2::CGtV3d*,GtMathPs2::C",B3AITarget.cpp
CB3BehaviourInterpolate,"SetParameters(EB3PlayerCameraBehaviour,EB3PlayerCameraBehaviour,EB3PlayerCameraBehaviour,EB3PlayerCame",B3BehaviourInterpolate.cpp
CB3BehaviourInterpolate,"SetParameters(EB3PlayerCameraBehaviour,EB3PlayerCameraBehaviour,float,EB3InterpolationType,EB3Interpol",B3BehaviourInterpolate.cpp
CB3Bloom,"FirstDownsample(unsigned int,unsigned int,unsigned int,unsigned int,unsigned int,unsigned int,unsigned int,unsigned i",B3BloomPS2.cpp
CB3BurningText2dObject,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,float,const CGt2dFont*,const unsigned short*,",B3BurningText2dObject.cpp
CB3CameraUtils,"CollisionIsCameraInVehicle(GtMathPs2::CGtV3d,const CGtAxisAlignedBox&,const GtMathPs2::CGtMatrix3x4&,const GtMa",B3CameraUtils.cpp
CB3CameraUtils,"LineOfSight(const CGtLine&,GtMathPs2::CGtV3d,const CGtAxisAlignedBox&,const GtMathPs2::CGtMatrix3x4&,GtMathPs2:",B3CameraUtils.cpp
CB3CarViewerGameMode,"SetArrowVertices(CB3Im3dVertex*,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,G",B3CarViewerGameMode.cpp
CB3ClusterRig,"PrepareRotate(EB3RigType,EB3FocusType,CB3ChildBody*,float,float,GtMathPs2::CGtV3d,float,float,float,const GtMath",B3BehaviourCluster.cpp
CB3CollidingBody,"CalculateCollisionImpulseWithBody(CB3CollidingBody&,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtM",B3PhysicsManager.cpp
CB3CollidingBody,"CalculateCollisionImpulseWithInanimateObject(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,float,GtMa",B3CollidingBody.cpp
CB3CollidingBody,"CalculateCollisionImpulseWithTraffic(CB3TrafficVehicle*,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d",B3CollidingBody.cpp
CB3ConvexHullCollide,"BuildClippedEdgeList(GtMathPs2::CGtV3d*,unsigned int*,GtMathPs2::CGtV3d,const CB3ConvexHull*,GtMathPs2::C",B3ConvexHullCollide.cpp
CB3ConvexHullCollide,"GetHullPenetration(int*,unsigned char,CB3ConvexHullPlane*,GtMathPs2::CGtPlane*,GtMathPs2::CGtV3d,GtMathPs",B3ConvexHullCollide.cpp
CB3EffectsManager,"DoCrazyBodyBodySparks(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,const CB3SparkSpawnParams*,float",B3EffectsManager.cpp
CB3EffectsManager,"HandleBodyBodyCollisionEffects(CB3CollidingBody*,CB3CollidingBody*,const CB3CollidingPair*,EB3PropType,EB3Pr",B3EffectsManager.cpp
CB3EffectsManager,"RenderCoronaType(const CB3VehicleEssentialParams&,EB3VehicleTags,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathP",B3EffectsManager.cpp
CB3EffectsManager,"SpawnDebrisFromPoint(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,float,float,con",B3EffectsManager.cpp
CB3EffectsManager,"SpawnParticleShowerFromPoint(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,EParticleSpawnType,float,",B3EffectsManager.cpp
CB3EffectsManager,"SpawnParticlesAlongLine(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,EParticleSpawnType,float,float",B3EffectsManager.cpp
CB3EffectsManager,"SpawnParticlesFromPoint(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,EParticleSpawnType,float,const",B3EffectsManager.cpp
CB3EffectsManager,"SpawnPopcornFromPoint(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d*,GtMathPs2::CG",B3EffectsManager.cpp
CB3EffectsManager,"SpawnSparksFromPoint(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,GtMathPs2::CGtV3d,float,float,boo",B3EffectsManager.cpp
CB3EffectsManager,"UpdateWheelEffects(CB3VehiclePhysics*,unsigned int,const GtMathPs2::CGtMatrix3x4*,const CB3EffectsManager::C",B3EffectsManager.cpp
CB3FlashText2dObject,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,float,GtMathPs2::CGtV4d,const CGt2dFont*,const ",B3FlashText2dObject.cpp
CB3Fog,"RenderIndexedFog(GtMathPs2::CGtV3d,unsigned int,unsigned int,unsigned int,unsigned int,unsigned int,unsigned int,unsign",B3FogPS2.cpp
CB3GradientText2dObject,"Prepare(const GtMathPs2::CGtV2d&,const GtMathPs2::CGtV2d&,float,GtMathPs2::CGtV4d,const CGt2dFont*,con",B3GradientText2dObject.cpp
