ps2_real_address,class,method_signature,source_file,profiling_offset
0012ec60,CB3ControllerMapping,GetBoost(),,192
0012ee60,CB3ControllerMapping,GetGearDown(),,192
0012ef20,CB3ControllerMapping,GetGearUp(),,192
0012f0e0,CB3ControllerMapping,GetAftertouch(),,192
0012f290,CB3ControllerMapping,GetSteering(),,192
0012f440,CB3ControllerMapping,GetBrake(),,192
0012f550,CB3ControllerMapping,GetAccelerator(),,192
0012f980,CB3DebugManager,"RenderPerfMonDataCallback(const char*,float,float,float,bool)",,192
00130090,CB3DebugManager,"DrawCross(GtMathPs2::CGtV3d,float,GtMathPs2::CGtV4d)",,208
00130560,CB3DebugManager,Prepare(),,192
001305e0,CB3DebugManager,Construct(),,192
00130c40,CB3FrontEnd,Prepare(),B3FrontEnd.cpp,0
001312a0,CGtDictionary<CGtTexture>,GetAt(int),,192
001312c0,CB3Game,Is2PlayerSplitScreen(),,192
00131380,CB3Game,IsCrashMode(),,192
00132800,CB3Game,Prepare(),B3Game.cpp,0
00132f20,CB3Game,Construct(),B3Game.cpp,0
00133890,CB3GameMode,Prepare(),,208
00134d20,CB3Player,Prepare(),,208
00134d70,CB3Player,Construct(int),,208
00134db0,CB3ProfileManager,Prepare(),B3Profile.cpp,0
00135470,CB3ProfileManager,Construct(),,208
00135720,CB3Profile,EvaluateGameCounts(),,208
00135930,CB3Profile,EvaluateFavourites(),,208
00135a30,CB3Profile,EvaluateMedals(),,208
00136480,CB3Profile,WillTrophyUnlock(int),,208
00136740,CB3Profile,WillCheatUnlock(int),,208
00136870,CB3Profile,WillPlayerCarUnlock(int),,208
00136af0,CB3Profile,EvaluateTrackUnlocking(),,208
00136c40,CB3Profile,EvaluateChallengeUnlocking(),,208
00137a40,CB3Profile,UnlockAll(),,208
00137bd0,CB3Profile,Evaluate(),,208
001388c0,CB3Profile,"GetTakeDownTotal(unsigned long,bool)",,208
00138af0,CB3Profile,FindStageIDFromProgressionIndex(int),,208
00139320,CB3ProfileCalcuatedData,Prepare(),,208
00139500,CB3ProfileStoredData,Prepare(),,208
001396e0,CB3ProgressionManager,Update(),,192
00139c70,CB3AsyncDataLoader,"QueueLoadRequest(const char*,bool*,void*,unsigned int)",,208
